invoice_id,account_id,subscription_id,invoice_date,paid_at,status,currency
inv_000001,acct_0001,sub_0001,2026-02-01,2026-02-01T12:00:00Z,paid,USD
inv_000002,acct_0002,sub_0002,2026-02-02,2026-02-02T12:00:00Z,paid,USD
inv_000003,acct_0003,sub_0003,2026-02-03,2026-02-03T12:00:00Z,paid,USD
inv_000004,acct_0004,sub_0004,2026-02-04,2026-02-04T12:00:00Z,paid,USD
inv_000005,acct_0005,sub_0005,2026-02-05,2026-02-05T12:00:00Z,paid,USD
inv_000006,acct_0006,sub_0006,2026-02-06,2026-02-06T12:00:00Z,paid,USD
inv_000007,acct_0007,sub_0007,2026-02-07,2026-02-07T12:00:00Z,paid,USD
inv_000008,acct_0008,sub_0008,2026-02-08,2026-02-08T12:00:00Z,paid,USD
inv_000009,acct_0009,sub_0009,2026-02-09,2026-02-09T12:00:00Z,paid,USD
inv_000010,acct_0010,sub_0010,2026-02-10,2026-02-10T12:00:00Z,paid,USD
inv_000011,acct_0011,sub_0011,2026-02-11,2026-02-11T12:00:00Z,paid,USD
inv_000012,acct_0012,sub_0012,2026-02-12,2026-02-12T12:00:00Z,paid,USD
inv_000013,acct_0013,sub_0013,2026-02-13,2026-02-13T12:00:00Z,paid,USD
inv_000014,acct_0014,sub_0014,2026-02-14,2026-02-14T12:00:00Z,paid,USD
inv_000015,acct_0015,sub_0015,2026-02-15,2026-02-15T12:00:00Z,paid,USD
inv_000016,acct_0016,sub_0016,2026-02-16,2026-02-16T12:00:00Z,paid,USD
inv_000017,acct_0017,sub_0017,2026-02-17,2026-02-17T12:00:00Z,paid,USD
inv_000018,acct_0018,sub_0018,2026-02-18,2026-02-18T12:00:00Z,paid,USD
inv_000019,acct_0019,sub_0019,2026-02-19,2026-02-19T12:00:00Z,paid,USD
inv_000020,acct_0020,sub_0020,2026-02-20,2026-02-20T12:00:00Z,paid,USD
inv_000021,acct_0021,sub_0021,2026-02-21,2026-02-21T12:00:00Z,paid,USD
inv_000022,acct_0022,sub_0022,2026-02-22,2026-02-22T12:00:00Z,paid,USD
inv_000023,acct_0023,sub_0023,2026-02-23,2026-02-23T12:00:00Z,paid,USD
inv_000024,acct_0024,sub_0024,2026-02-24,2026-02-24T12:00:00Z,paid,USD
inv_000025,acct_0025,sub_0025,2026-02-25,2026-02-25T12:00:00Z,paid,USD
inv_000026,acct_0026,sub_0026,2026-02-26,2026-02-26T12:00:00Z,paid,USD
inv_000027,acct_0027,sub_0027,2026-02-27,2026-02-27T12:00:00Z,paid,USD
inv_000028,acct_0028,sub_0028,2026-02-28,2026-02-28T12:00:00Z,paid,USD
inv_000029,acct_0029,sub_0029,2026-02-01,2026-02-01T12:00:00Z,paid,USD
inv_000030,acct_0030,sub_0030,2026-02-02,2026-02-02T12:00:00Z,paid,USD
inv_000031,acct_0031,sub_0031,2026-02-03,2026-02-03T12:00:00Z,paid,USD
inv_000032,acct_0032,sub_0032,2026-02-04,2026-02-04T12:00:00Z,paid,USD
inv_000033,acct_0033,sub_0033,2026-02-05,2026-02-05T12:00:00Z,paid,USD
inv_000034,acct_0034,sub_0034,2026-02-06,2026-02-06T12:00:00Z,paid,USD
inv_000035,acct_0035,sub_0035,2026-02-07,2026-02-07T12:00:00Z,paid,USD
inv_000036,acct_0036,sub_0036,2026-02-08,2026-02-08T12:00:00Z,paid,USD
inv_000037,acct_0037,sub_0037,2026-02-09,2026-02-09T12:00:00Z,paid,USD
inv_000038,acct_0038,sub_0038,2026-02-10,2026-02-10T12:00:00Z,paid,USD
inv_000039,acct_0039,sub_0039,2026-02-11,2026-02-11T12:00:00Z,paid,USD
inv_000040,acct_0040,sub_0040,2026-02-12,2026-02-12T12:00:00Z,paid,USD
inv_000041,acct_0041,sub_0041,2026-02-13,2026-02-13T12:00:00Z,paid,USD
inv_000042,acct_0042,sub_0042,2026-02-14,2026-02-14T12:00:00Z,paid,USD
inv_000043,acct_0043,sub_0043,2026-02-15,2026-02-15T12:00:00Z,paid,USD
inv_000044,acct_0044,sub_0044,2026-02-16,2026-02-16T12:00:00Z,paid,USD
inv_000045,acct_0045,sub_0045,2026-02-17,2026-02-17T12:00:00Z,paid,USD
inv_000046,acct_0046,sub_0046,2026-02-18,2026-02-18T12:00:00Z,paid,USD
inv_000047,acct_0047,sub_0047,2026-02-19,2026-02-19T12:00:00Z,paid,USD
inv_000048,acct_0048,sub_0048,2026-02-20,2026-02-20T12:00:00Z,paid,USD
inv_000049,acct_0049,sub_0049,2026-02-21,2026-02-21T12:00:00Z,paid,USD
