purchase_request_id,account_id,requester_user_id,created_at,status,amount_cents,supplier_id
pr_000001,acct_0010,user_000001,2026-03-23T11:00:00Z,approved,25100,supplier_0001
pr_000002,acct_0011,user_000002,2026-03-24T11:00:00Z,approved,25200,supplier_0002
pr_000003,acct_0012,user_000003,2026-03-25T11:00:00Z,submitted,25300,supplier_0003
pr_000004,acct_0013,user_000004,2026-03-26T11:00:00Z,approved,25400,supplier_0004
pr_000005,acct_0014,user_000005,2026-03-27T11:00:00Z,approved,25500,supplier_0005
pr_000006,acct_0015,user_000006,2026-03-28T11:00:00Z,submitted,25600,supplier_0006
pr_000007,acct_0016,user_000007,2026-03-29T11:00:00Z,approved,25700,supplier_0007
pr_000008,acct_0017,user_000008,2026-03-23T11:00:00Z,approved,25800,supplier_0008
pr_000009,acct_0018,user_000009,2026-03-24T11:00:00Z,submitted,25900,supplier_0009
pr_000010,acct_0019,user_000010,2026-03-25T11:00:00Z,approved,26000,supplier_0010
pr_000011,acct_0020,user_000011,2026-03-26T11:00:00Z,approved,26100,supplier_0011
pr_000012,acct_0021,user_000012,2026-03-27T11:00:00Z,submitted,26200,supplier_0012
pr_000013,acct_0022,user_000013,2026-03-28T11:00:00Z,approved,26300,supplier_0013
pr_000014,acct_0023,user_000014,2026-03-29T11:00:00Z,approved,26400,supplier_0014
pr_000015,acct_0024,user_000015,2026-03-23T11:00:00Z,submitted,26500,supplier_0015
pr_000016,acct_0025,user_000016,2026-03-24T11:00:00Z,approved,26600,supplier_0016
pr_000017,acct_0026,user_000017,2026-03-25T11:00:00Z,approved,26700,supplier_0017
pr_000018,acct_0027,user_000018,2026-03-26T11:00:00Z,submitted,26800,supplier_0018
pr_000019,acct_0028,user_000019,2026-03-27T11:00:00Z,approved,26900,supplier_0019
pr_000020,acct_0029,user_000020,2026-03-28T11:00:00Z,approved,27000,supplier_0020
pr_000021,acct_0030,user_000021,2026-03-29T11:00:00Z,submitted,27100,supplier_0021
pr_000022,acct_0031,user_000022,2026-03-23T11:00:00Z,approved,27200,supplier_0022
pr_000023,acct_0032,user_000023,2026-03-24T11:00:00Z,approved,27300,supplier_0023
pr_000024,acct_0033,user_000024,2026-03-25T11:00:00Z,submitted,27400,supplier_0024
pr_000025,acct_0034,user_000025,2026-03-26T11:00:00Z,approved,27500,supplier_0025
pr_000026,acct_0035,user_000026,2026-03-27T11:00:00Z,approved,27600,supplier_0026
pr_000027,acct_0036,user_000027,2026-03-28T11:00:00Z,submitted,27700,supplier_0027
pr_000028,acct_0037,user_000028,2026-03-29T11:00:00Z,approved,27800,supplier_0028
pr_000029,acct_0038,user_000029,2026-03-23T11:00:00Z,approved,27900,supplier_0029
pr_000030,acct_0039,user_000030,2026-03-24T11:00:00Z,submitted,28000,supplier_0030
pr_000031,acct_0040,user_000031,2026-03-25T11:00:00Z,approved,28100,supplier_0031
pr_000032,acct_0041,user_000032,2026-03-26T11:00:00Z,approved,28200,supplier_0032
pr_000033,acct_0042,user_000033,2026-03-27T11:00:00Z,submitted,28300,supplier_0033
pr_000034,acct_0043,user_000034,2026-03-28T11:00:00Z,approved,28400,supplier_0034
pr_000035,acct_0044,user_000035,2026-03-29T11:00:00Z,approved,28500,supplier_0035
pr_000036,acct_0045,user_000036,2026-03-23T11:00:00Z,submitted,28600,supplier_0036
pr_000037,acct_0046,user_000037,2026-03-24T11:00:00Z,approved,28700,supplier_0037
pr_000038,acct_0047,user_000038,2026-03-25T11:00:00Z,approved,28800,supplier_0038
pr_000039,acct_0048,user_000039,2026-03-26T11:00:00Z,submitted,28900,supplier_0039
pr_000040,acct_0049,user_000040,2026-03-27T11:00:00Z,approved,29000,supplier_0040
pr_000041,acct_0050,user_000041,2026-03-28T11:00:00Z,approved,29100,supplier_0041
pr_000042,acct_0010,user_000042,2026-03-29T11:00:00Z,submitted,29200,supplier_0042
pr_000043,acct_0011,user_000043,2026-03-23T11:00:00Z,approved,29300,supplier_0043
pr_000044,acct_0012,user_000044,2026-03-24T11:00:00Z,approved,29400,supplier_0044
pr_000045,acct_0013,user_000045,2026-03-25T11:00:00Z,submitted,29500,supplier_0045
pr_000046,acct_0014,user_000046,2026-03-26T11:00:00Z,approved,29600,supplier_0046
pr_000047,acct_0015,user_000047,2026-03-27T11:00:00Z,approved,29700,supplier_0047
pr_000048,acct_0016,user_000048,2026-03-28T11:00:00Z,submitted,29800,supplier_0048
pr_000049,acct_0017,user_000049,2026-03-29T11:00:00Z,approved,29900,supplier_0049
pr_000050,acct_0018,user_000050,2026-03-23T11:00:00Z,approved,30000,supplier_0050
pr_000051,acct_0019,user_000051,2026-03-24T11:00:00Z,submitted,30100,supplier_0051
pr_000052,acct_0020,user_000052,2026-03-25T11:00:00Z,approved,30200,supplier_0052
pr_000053,acct_0021,user_000053,2026-03-26T11:00:00Z,approved,30300,supplier_0053
pr_000054,acct_0022,user_000054,2026-03-27T11:00:00Z,submitted,30400,supplier_0054
pr_000055,acct_0023,user_000055,2026-03-28T11:00:00Z,approved,30500,supplier_0055
pr_000056,acct_0024,user_000056,2026-03-29T11:00:00Z,approved,30600,supplier_0056
pr_000057,acct_0025,user_000057,2026-03-23T11:00:00Z,submitted,30700,supplier_0057
pr_000058,acct_0026,user_000058,2026-03-24T11:00:00Z,approved,30800,supplier_0058
pr_000059,acct_0027,user_000059,2026-03-25T11:00:00Z,approved,30900,supplier_0059
pr_000060,acct_0028,user_000060,2026-03-26T11:00:00Z,submitted,31000,supplier_0060
pr_000061,acct_0029,user_000061,2026-03-27T11:00:00Z,approved,31100,supplier_0061
pr_000062,acct_0030,user_000062,2026-03-28T11:00:00Z,approved,31200,supplier_0062
pr_000063,acct_0031,user_000063,2026-03-29T11:00:00Z,submitted,31300,supplier_0063
pr_000064,acct_0032,user_000064,2026-03-23T11:00:00Z,approved,31400,supplier_0064
pr_000065,acct_0033,user_000065,2026-03-24T11:00:00Z,approved,31500,supplier_0065
pr_000066,acct_0034,user_000066,2026-03-25T11:00:00Z,submitted,31600,supplier_0066
pr_000067,acct_0035,user_000067,2026-03-26T11:00:00Z,approved,31700,supplier_0067
pr_000068,acct_0036,user_000068,2026-03-27T11:00:00Z,approved,31800,supplier_0068
pr_000069,acct_0037,user_000069,2026-03-28T11:00:00Z,submitted,31900,supplier_0069
pr_000070,acct_0038,user_000070,2026-03-29T11:00:00Z,approved,32000,supplier_0070
pr_000071,acct_0039,user_000071,2026-03-23T11:00:00Z,approved,32100,supplier_0071
pr_000072,acct_0040,user_000072,2026-03-24T11:00:00Z,submitted,32200,supplier_0072
pr_000073,acct_0041,user_000073,2026-03-25T11:00:00Z,approved,32300,supplier_0073
pr_000074,acct_0042,user_000074,2026-03-26T11:00:00Z,approved,32400,supplier_0074
pr_000075,acct_0043,user_000075,2026-03-27T11:00:00Z,submitted,32500,supplier_0075
pr_000076,acct_0044,user_000076,2026-03-28T11:00:00Z,approved,32600,supplier_0076
pr_000077,acct_0045,user_000077,2026-03-29T11:00:00Z,approved,32700,supplier_0077
pr_000078,acct_0046,user_000078,2026-03-23T11:00:00Z,submitted,32800,supplier_0078
pr_000079,acct_0047,user_000079,2026-03-24T11:00:00Z,approved,32900,supplier_0079
pr_000080,acct_0048,user_000080,2026-03-25T11:00:00Z,approved,33000,supplier_0080
pr_000081,acct_0049,user_000081,2026-03-26T11:00:00Z,submitted,33100,supplier_0081
pr_000082,acct_0050,user_000082,2026-03-27T11:00:00Z,approved,33200,supplier_0082
pr_000083,acct_0010,user_000083,2026-03-28T11:00:00Z,approved,33300,supplier_0083
pr_000084,acct_0011,user_000084,2026-03-29T11:00:00Z,submitted,33400,supplier_0084
pr_000085,acct_0012,user_000085,2026-03-23T11:00:00Z,approved,33500,supplier_0085
pr_000086,acct_0013,user_000086,2026-03-24T11:00:00Z,approved,33600,supplier_0086
pr_000087,acct_0014,user_000087,2026-03-25T11:00:00Z,submitted,33700,supplier_0087
pr_000088,acct_0015,user_000088,2026-03-26T11:00:00Z,approved,33800,supplier_0088
pr_000089,acct_0016,user_000089,2026-03-27T11:00:00Z,approved,33900,supplier_0089
pr_000090,acct_0017,user_000090,2026-03-28T11:00:00Z,submitted,34000,supplier_0090
pr_000091,acct_0018,user_000091,2026-03-29T11:00:00Z,approved,34100,supplier_0091
pr_000092,acct_0019,user_000092,2026-03-23T11:00:00Z,approved,34200,supplier_0092
pr_000093,acct_0020,user_000093,2026-03-24T11:00:00Z,submitted,34300,supplier_0093
pr_000094,acct_0021,user_000094,2026-03-25T11:00:00Z,approved,34400,supplier_0094
pr_000095,acct_0022,user_000095,2026-03-26T11:00:00Z,approved,34500,supplier_0095
pr_000096,acct_0023,user_000096,2026-03-27T11:00:00Z,submitted,34600,supplier_0096
pr_000097,acct_0024,user_000097,2026-03-28T11:00:00Z,approved,34700,supplier_0097
pr_000098,acct_0025,user_000098,2026-03-29T11:00:00Z,approved,34800,supplier_0098
pr_000099,acct_0026,user_000099,2026-03-23T11:00:00Z,submitted,34900,supplier_0099
pr_000100,acct_0027,user_000100,2026-03-24T11:00:00Z,approved,35000,supplier_0100
pr_000101,acct_0028,user_000101,2026-03-25T11:00:00Z,approved,35100,supplier_0101
pr_000102,acct_0029,user_000102,2026-03-26T11:00:00Z,submitted,35200,supplier_0102
pr_000103,acct_0030,user_000103,2026-03-27T11:00:00Z,approved,35300,supplier_0103
pr_000104,acct_0031,user_000104,2026-03-28T11:00:00Z,approved,35400,supplier_0104
pr_000105,acct_0032,user_000105,2026-03-29T11:00:00Z,submitted,35500,supplier_0105
pr_000106,acct_0033,user_000106,2026-03-23T11:00:00Z,approved,35600,supplier_0106
pr_000107,acct_0034,user_000107,2026-03-24T11:00:00Z,approved,35700,supplier_0107
pr_000108,acct_0035,user_000108,2026-03-25T11:00:00Z,submitted,35800,supplier_0108
pr_000109,acct_0036,user_000109,2026-03-26T11:00:00Z,approved,35900,supplier_0109
pr_000110,acct_0037,user_000110,2026-03-27T11:00:00Z,approved,36000,supplier_0110
pr_000111,acct_0038,user_000111,2026-03-28T11:00:00Z,submitted,36100,supplier_0111
pr_000112,acct_0039,user_000112,2026-03-29T11:00:00Z,approved,36200,supplier_0112
pr_000113,acct_0040,user_000113,2026-03-23T11:00:00Z,approved,36300,supplier_0113
pr_000114,acct_0041,user_000114,2026-03-24T11:00:00Z,submitted,36400,supplier_0114
pr_000115,acct_0042,user_000115,2026-03-25T11:00:00Z,approved,36500,supplier_0115
pr_000116,acct_0043,user_000116,2026-03-26T11:00:00Z,approved,36600,supplier_0116
pr_000117,acct_0044,user_000117,2026-03-27T11:00:00Z,submitted,36700,supplier_0117
pr_000118,acct_0045,user_000118,2026-03-28T11:00:00Z,approved,36800,supplier_0118
